FILE,LABEL,VALUE
calculation,item_type,calculation_calculationArc
calculation,order,6
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,to,loc_us-gaap_OperatingLeaseRightOfUseAsset_de8e7f02-959f-48e4-9d3e-467337115bb3
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_EquitySecuritiesWithoutReadilyDeterminableFairValueAmount_55795388-5c21-414b-aad5-0fe58386aab4
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_EquitySecuritiesWithoutReadilyDeterminableFairValueAmount
calculation,item_type,calculation_calculationArc
calculation,order,7
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_6db99a84-caff-40eb-8b15-5c1748d2a481
calculation,to,loc_us-gaap_EquitySecuritiesWithoutReadilyDeterminableFairValueAmount_55795388-5c21-414b-aad5-0fe58386aab4
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesAndStockholdersEquity_86388751-ae5a-4767-98ce-2eebb624a6dc
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesAndStockholdersEquity
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Liabilities_49bee990-26cc-45b5-9e51-a2edfeb54378
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Liabilities
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_86388751-ae5a-4767-98ce-2eebb624a6dc
calculation,to,loc_us-gaap_Liabilities_49bee990-26cc-45b5-9e51-a2edfeb54378
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_StockholdersEquity_1af1e25e-237f-4c3c-8f2a-47a6b1f70c9e
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_StockholdersEquity
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_86388751-ae5a-4767-98ce-2eebb624a6dc
calculation,to,loc_us-gaap_StockholdersEquity_1af1e25e-237f-4c3c-8f2a-47a6b1f70c9e
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CommitmentsAndContingencies_abe38bfe-a73d-48aa-96e1-9a4212cb7b99
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CommitmentsAndContingencies
