Tag,TLabel,Column Inserted By FY (1 = include in Cap Table),Version,Custom,Abstract,CRDR,Datatype,Doc,IORD,Count,Tag Lowercase,Tlabel Lowercase,Doc Lowercase,Tag Includes Debt,Tlabel Includes Debt,Doc Includes Debt,Tag Includes Note,Tlabel Includes Note,Doc Includes Note,Tag Includes Loan,Tlabel Includes Loan,Doc Includes Loan,Tag Includes Borrow,Tlabel Includes Borrow,Doc Includes Borrow,Tag Includes Facility,Tlabel Includes Facility,Doc Includes Facility,Tag Includes Line,Tlabel Includes Line,Doc Includes Line,Or
ConvertibleBondsNoncurrent,Convertible Bonds Noncurrent,1,0001193125-21-225009,1,0,C,,Convertible bonds noncurrent.,I,1,convertiblebondsnoncurrent,convertible bonds noncurrent,convertible bonds noncurrent.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BondsPayableFairValueDisclosure,"Bonds payable held in variable interest entities, at fair value",1,0001437749-21-018196,1,0,C,,The amount of bonds payable at fair value as of the balance sheet date.,I,1,bondspayablefairvaluedisclosure,"bonds payable held in variable interest entities, at fair value",the amount of bonds payable at fair value as of the balance sheet date.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RateReductionBondsCurrent,"Rate Reduction Bonds, Current",1,0000072741-21-000019,1,0,C,,"Rate Reduction Bonds, Current",I,1,ratereductionbondscurrent,"rate reduction bonds, current","rate reduction bonds, current",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RateReductionBonds,Rate Reduction Bonds,1,0000072741-21-000019,1,0,C,,Rate Reduction Bonds,I,1,ratereductionbonds,rate reduction bonds,rate reduction bonds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SeniorConvertibleBondsCurrent,SeniorConvertibleBondsCurrent,1,0001213900-21-041696,1,0,C,,Amount of senior convertible bonds current.,I,1,seniorconvertiblebondscurrent,seniorconvertiblebondscurrent,amount of senior convertible bonds current.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LongTermBond,Long Term Bond,1,0001564590-21-044332,1,0,C,,Long term bond.,I,1,longtermbond,long term bond,long term bond.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BankOverdraftsAndBondsAndLoansCurrent,Bank Overdrafts And Bonds And Loans Current,1,0001193125-21-273865,1,0,C,,Bank overdrafts and the amount of current bonds and bank loans.,I,1,bankoverdraftsandbondsandloanscurrent,bank overdrafts and bonds and loans current,bank overdrafts and the amount of current bonds and bank loans.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
